host_id,host_about,user_id
1746524,"I am a photographer and my husband is a writer.  We have lived in Hyde Park for 35 years and raised two children here.  We run, bike, and swim with our two labs, Ella and Finn, and love to hike.  We have lived in this apartment for 17 years and did extensive rehab. We garden in a community garden in the neighborhood and do a lot of cooking.",1746524
3965428,"We are a short-term housing solutions company that provides fully furnished rentals for short and extended stays. Our properties are tailored to business professionals, insurance, relocation, traveling nurses and employees, couples, and families. ",3965428
4010906,"The Elect Lady Grayer is the Founder of the Works of Elohim International Inc.  She is the Director of the Omega Mansion/Bronzeville, an Entrepreneur and Author of Books: ""Don't Shoot - I'm Already Wounded,"" ""Morning Glory,"" - Book of Poems, ""A Mother's Love"" - Keep Sake Journal, and ""Come and Dine"" - A soulful Cook Book, and others to come.  Passionate Worshippers of Yeshua/Jesus.  I love, love hosting travelers from around the world. Five things I can't live without:  My relationship with my Saviour, prayer,  the convenience of technology, sparkling clean house, and grandkids. My favorite travel destinations: Hawaii, and  the UK, and Etc.  Books: The KJV Bible,  The Spook who sat by the door, To Kill A marking Bird, Langston Hughes, and Etc.  Movies: The Green Mile, and the Ten Commandments 1956 by Cecil B. DeMille, The King and I with Yul Brynner,  Exodus, and  too many to mention . Music: Gospel, Classical, Jazz, and Blues.  To have me as a host will be an awesome experience!  Love Food period!  My Life Motto is : ""I'm too old of a cat to be fooled by a kitten"".",4010906
845242,"After 12 years of hosting, my wife and I decided to turn our hobby into a legit side hustle.   Today, we are the proud owners of Mi Casa Su Casa Vacations.  We have been hosting since 2011 in Chicago IL and now in our 4TH season on the shores of Lake Michigan.    We are a family owned and operated side hustle that only offers homes that we ""own""   Our goal is to provide the highest quality service and create memorable vacations for our guests.",845242
5166793,"Hi, we are Brad Miller and Carrie Hood.  We live in Chicago with our three children.  After having such great times traveling with AirBnB to San Francisco and Michigan, we're inspired to try it ourselves.  We are excited to host guests and share this great city with travelers.

We rehabbed the bottom unit of our house as a rental unit, but currently use it to run a design business.  Our out of town guests stay in that unit, so it's perfect for AirBnB.  We're excited to get the best us of our guest space.

It will be a pleasure to share our home that we love.",5166793
1876597,"We are global travel junkies and love to talk about destinations with our guests.  We've been to over 65 countries, and maintain a wanderlust for exploring new destinations and encountering new friends. We look forward to welcoming you!",1876597
1876597,"We are global travel junkies and love to talk about destinations with our guests.  We've been to over 65 countries, and maintain a wanderlust for exploring new destinations and encountering new friends. We look forward to welcoming you!",1876597
1838943,"Sunnie is retired. She was the chairman of the Music Department at a private school.  Randy is a freelance jazz pianist and composer.  We love good food, good music, and good conversation!",1838943
10917550,"Our quality of life depends on how well we deal with adversity!  Feel positive. Live positive.  I grew up in a small coastal town in Maine.  When I turned 19 I realized that I was a closet wanderer.  So I hit the road and covered much of the U.S. and all of Europe.  I taught skiing in the Rockies and rode my BMW R65-LS from coast to coast.  When I was in Europe I was amazed at how willing people were to open their homes to a total stranger.  I had one of my best experiences living with a family in Romania in the Carpathian Mountains.  Amazing!  I feel this is the best way possible to travel.  It's part of why I love Air B&B.  Hotel shmotel!  Live the life of the area.  That's an experience.  Now my wandering days are over.  I'm rooted in one of the coolest communities I know.  Rich with art and spirit. I have two amazing girls that help me garden, can, collect eggs and milk.  My partner is a fellow East Coast boy, world class jazz pianist and my right hand man. I also tour with an ABBA tribute band as well as a Pink Floyd tribute band but don't hold that against me.  I hope you like it here half as much as we do!!",10917550
1844352,"Nice to meet you! I've been hosting in Chicago for the past 6 years and NYC for the past 2. I truly love opening my spaces to guests, and am always on hand for recommendations, a cup of coffee, or a chat. 

I'm a writer, actor, and professional organizer by trade(s). If you rent my place in NYC I'm sure we'll meet, if you rent in Chicago you'll meet my lovely co-host Kelsey. I'm a big traveler myself, some favorite destinations being Turkey, Berlin, Cuba, New Orleans, Montreal and Cambodia! 

Look forward to meeting you",1844352
1559157,I am an artist with a love for language and new cultural experiences. I am kind and warm with a preference for books over devices and people over profiles.,1559157
1385332,"A friendly & easy-going host. Courteous, clean, well-organized, responsive to requests and respect your privacy.

Backgrounds: Botany, art&design and computer science. Also a licensed real estate broker in IL with 15+ years of rental experiences. 

Hobbies:  Gardening, biking, hiking, traveling, exploring new restaurants.

I greatly appreciate your support. You may expect that I will go extra miles to ensure that you enjoy your stay.",1385332
2204693,"Thanks for checking out my listing and hopefully we'll get to meet you soon!
",2204693
2308792,Hello everyone!  I'm Jonathan and I'm an avid traveler.  Myself along with Amanda and Bob have hosted on Airbnb since its introduction in Chicago.  We are proud of our city and our apartments and really want you to have a fabulous time during your stay with us.  We have attempted to create an easy low-key guest experience that really helps you feel like a local while providing the best bang for your buck.  I hope we have achieved it!,2308792
7391164,,7391164
2501182,"My family of four has lived in the top unit of the two-flat since 2007. We spend a lot of time walking or biking around in our neighborhood. You can often find us out front, sitting at the picnic table or just chatting with neighbors. We love visiting other places where we can stay in interesting neighborhoods. We think our place is well-suited for others  who appreciate peaceful and lively neighborhoods.",2501182
7391164,,7391164
11848299,"I'm a 4th generation Chicago native, who has traveled the country many times over on a budget. I am friendly and hospitable to strangers, and believe that community is truly built one conversation at a time.",11848299
2273840,"Midwestern urban farm girl who appreciates art, architecture, travel, good food and good friends. I wear many hats, among them interior decorator, writer, corporate marketing veteran, vintage/antique dealer and landlord. I've owned my Logan Square property for more than 16 years and have lived in Chicago on and off for the last 25 with a stint in Washington, DC. I am excited to welcome fellow travelers who like to explore ""off the beaten path"" and proud to welcome them into my home, which is my pride and joy.  

My personal recent travels include a long weekend in Detroit, some great hiking in Park City, Utah, a very long break on Kauai and some urban fun in NYC.",2273840
